A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
102842.640625,89343.34375,75158.7734375,56234.30078125,34606.48828125,8299.294921875,,,90259.875,90246.40625,68829.1796875,49429.65625,27171.560546875,6001.2578125,,,,,,,,,,,1635.122802734375,1898.0401611328125,2042.5274658203125,5863.96533203125,-3540.717529296875,,,,,,,,,,,,3086.4384765625,1213.962646484375,1133.551513671875,3392.341064453125,-819.0439453125,-3985.0419921875,,
99081.6640625,83071.1875,67781.671875,53411.109375,30703.51171875,11026.982421875,,,86456.78125,86838.21875,68899.1953125,47104.453125,26926.8203125,21636.068359375,,,,,,,,,,,1505.9632568359375,2294.902587890625,1177.1209716796875,8861.2587890625,-3407.53857421875,,,,,,,,,,,,4002.50146484375,1717.4049072265625,1763.0245361328125,3750.4248046875,-556.5331420898438,-4436.87548828125,,
98458.15625,82058.546875,66763.9609375,52352.84765625,30216.81640625,11069.7314453125,,,85217.828125,85261.125,67613.390625,45957.203125,27127.984375,21478.83203125,,,,,,,,,,,1325.2908935546875,1541.9749755859375,960.2877197265625,8473.2490234375,-3434.7783203125,,,,,,,,,,,,4344.59033203125,1857.4205322265625,2091.188720703125,3722.999267578125,-401.9200744628906,-4506.22216796875,,
103315.4765625,81017.046875,68279.75,54272.8125,29994.13671875,10390.162109375,,,83147.296875,82308.90625,65308.0703125,44134.71875,27029.58203125,4637.21630859375,,,,,,,,,,,897.3229370117188,1430.6851806640625,978.6185302734375,6574.31591796875,-3524.564697265625,,,,,,,,,,,,5240.4375,1892.00146484375,2372.929931640625,3987.59619140625,-410.67315673828125,-4579.2431640625,,
104708.3125,82123.4609375,69925.53125,54644.953125,30864.07421875,10474.24609375,,,83654.015625,81996.546875,65031.6171875,44277.38671875,27181.759765625,5010.8720703125,,,,,,,,,,,869.4168090820312,1404.0911865234375,1084.6856689453125,6588.595703125,-3517.572265625,,,,,,,,,,,,5197.61279296875,1935.5733642578125,2390.626708984375,4148.58154296875,-344.4975891113281,-4575.1416015625,,
108832.75,88145.140625,75587.203125,55705.4453125,32632.90234375,11902.3291015625,,,88061.40625,84265.015625,66891.3203125,46934.28125,28507.244140625,8277.3125,,,,,,,,,,,912.2994995117188,1372.701416015625,1193.14794921875,6222.7197265625,-3449.242919921875,,,,,,,,,,,,5128.10546875,2108.392578125,2667.8232421875,4759.4443359375,36.39990234375,-4467.3251953125,,
109691.296875,89217.84375,76364.078125,55836.58203125,32782.296875,12121.974609375,,,89313.96875,86304.015625,67906.0390625,48223.3046875,28991.541015625,8873.4638671875,,,,,,,,,,,858.5239868164062,1436.80908203125,1252.2972412109375,6113.0087890625,-3428.48974609375,,,,,,,,,,,,5116.6298828125,2178.903076171875,2720.98046875,4865.10791015625,163.21307373046875,-4430.576171875,,
112088,92625.3125,77487.8046875,56862.2578125,33369.3984375,13126.08203125,,,92774.8671875,91459.546875,73624.359375,51876.140625,31105.923828125,10085.3662109375,,,,,,,,,,,942.5703735351562,1686.4888916015625,1499.2750244140625,6304.40576171875,-3233.6630859375,,,,,,,,,,,,5382.21240234375,2381.327880859375,3075.9052734375,5196.40625,645.26708984375,-4323.03759765625,,
112512.1640625,93134.984375,77474.5,57259.61328125,33540.63671875,13247.0126953125,,,93252.40625,91432.953125,73955.09375,52260.4296875,31687.404296875,10380.5107421875,,,,,,,,,,,912.7684936523438,1742.2901611328125,1431.8514404296875,6535.66943359375,-3204.9404296875,,,,,,,,,,,,5390.26220703125,2471.99609375,3197.74658203125,5260.9814453125,743.5203857421875,-4329.4970703125,,
113199.6171875,94538.0859375,77757.9375,57784.40625,33850.17578125,13605.54296875,,,95163.03125,95874.140625,76653.78125,53655.91015625,33387.9921875,11272.478515625,,,,,,,,,,,940.149169921875,2073.82470703125,1567.4974365234375,7229.5634765625,-3072.015380859375,,,,,,,,,,,,5584.39892578125,2782.91943359375,3453.6796875,5360.2900390625,1002.677490234375,-4250.62890625,,
