A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,,,20 nm,25850.7265625,5 nm,10554.841796875,0,3583.14880371094
27757.06640625,20151.01171875,18894.94921875,16216.7080078125,12996.20703125,8623.1650390625,3703.79711914063,,,,,,,,,,32317.37109375,21300.01953125,20928.8203125,21897.341796875,-5236.91552734375,11100.5693359375,3462.50048828125,,,,,,,,,,,,,,,,,,36513.2109375,23617.064453125,33211.1953125,24512.1875,24645.30859375,11940.791015625,7396.5146484375,,,,,25942.7451171875,,10386.2880859375,,3404.84167480469
28660.58984375,20426.431640625,19653.046875,16481.501953125,13368.0830078125,8723.6943359375,3563.72607421875,,,,,,,,,,35577.06640625,21654.193359375,21483.625,21704.720703125,-5245.4189453125,10854.513671875,3245.95727539063,,,,,,,,,,,,,,,,,,35728.59765625,23833.10546875,32806.50390625,23650.48046875,23883.4765625,11580.65625,7021.38818359375,,,3,,25942.017578125,,10192.1969401042,,3303.31103515625
29115.9765625,20402.30078125,20062.142578125,16436.095703125,13357.662109375,8686.171875,3478.07568359375,,,,,,,,,,38024.4921875,21624.349609375,21904.212890625,21445.427734375,-5252.55615234375,10634.3408203125,3128.54638671875,,,,,,,,,,,,,,,,,,35171.98046875,23782.462890625,32232.443359375,23084.5390625,23234.123046875,11256.078125,6844.93798828125,,,2,,25977.5849609375,,10075.4348958333,,3255.28271484375
29590.82421875,20384.376953125,20441.318359375,16389.5546875,13336.119140625,8649.1767578125,3441.6484375,,,,,,,,,,40318.67578125,21608.306640625,22373.53125,21249.857421875,-5252.1552734375,10484.451171875,3068.9169921875,,,,,,,,,,,,,,,,,,34896.90625,23790.75390625,31821.892578125,22723.27734375,22832.978515625,11092.6767578125,6729.39599609375,,,,,26053.2626953125,,9997.53776041667,,3214.91345214844
30050.474609375,20389.568359375,20857.6171875,16403.75390625,13353.4326171875,8629.98046875,3404.13012695312,,,,,,,,,,42384.4921875,21424.591796875,22837.904296875,21130.203125,-5264.3447265625,10394.087890625,3025.69677734375,,,,,,,,,,,,,,,,,,34707.7734375,23887.96484375,31513.8515625,22453.373046875,22541.18359375,10968.544921875,6650.82861328125,,,,,26139.9990234375,,9927.65266927083,,3165.29162597656
30468.5234375,20364.33984375,21229.7265625,16404.89453125,13373.4443359375,8630.5615234375,3354.80297851562,,,,,,,,,,44376.67578125,21532.759765625,23190.359375,21050.546875,-5256.4033203125,10284.431640625,2975.7802734375,,,,,,,,,,,,,,,,,,34561.71875,23866.060546875,31248.908203125,22228.25390625,22297.74609375,10867.96484375,6581.759765625,,,,,26196.412109375,,9901.15266927083,,3150.59985351562
30936.224609375,20354.580078125,21533.484375,16383.658203125,13381.6689453125,8625.2265625,3357.09008789062,,,,,,,,,,46244.63671875,21560.125,23582.23828125,20919.798828125,-5227.3486328125,10262.0234375,2944.10961914062,,,,,,,,,,,,,,,,,,34489.9765625,23882.96484375,31050.271484375,22025.181640625,22045.0546875,10816.2080078125,6558.95849609375,,,,,26274.9873046875,,9862.43391927084,,3129.18505859375
31306.3359375,20334.541015625,21846.34765625,16378.26171875,13397.0234375,8624.8603515625,3347.62768554687,,,,,,,,,,47994.98046875,21574.03125,23916.04296875,20834.7421875,-5240.8017578125,10213.693359375,2910.74243164062,,,,,,,,,,,,,,,,,,34427.7265625,23888.66015625,30859.33984375,21872.921875,21871.12109375,10748.748046875,6511.52197265625,,,,,26343.5927734375,,9829.66861979167,,3148.98327636719
31733.3984375,20351.986328125,22157.787109375,16434.986328125,13437.5166015625,8631.4775390625,3351.83032226562,,,,,,,,,,49714.09765625,21193.63671875,24228.46875,20789.419921875,-5228.8251953125,10163.4111328125,2946.13623046875,,,,,,,,,,,,,,,,,,34355.41796875,23955.5234375,30703.626953125,21737.771484375,21719.263671875,10694.1171875,6478.71044921875,,,,,26437.3994140625,,9810.97721354167,,3107.43005371094
32080.765625,20352.193359375,22410.2578125,16444.44921875,13462.1123046875,8667.0546875,3316.38330078125,,,,,,,,,,51351.6875,21255.2890625,24520.2109375,20719.390625,-5234.138671875,10105.349609375,2898.47680664062,,,,,,,,,,,,,,,,,,34315.53515625,23922.982421875,30529.3984375,21602.17578125,21575.8046875,10660.52734375,6449.3134765625,,,,,26488.1806640625,,9789.86165364583,,3111.34948730469
