,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
0,30486.2890625,23380.765625,24455.296875,16482.58984375,6967.40283203125,,-5897.56103515625,43768.69140625,35237.8359375,21225.759765625,22945.908203125,15037.72265625,3009.95288085937,,,,,,,,,,,9385.302734375,,,,,,,6256.064453125,,,7351.748046875,,,,,,6316.564453125,,,,,,,5386.21435546875
1,30634.234375,23379.52734375,24570.546875,16761.669921875,7034.72705078125,,-6001.1796875,43908.875,35068.25,21848.78515625,23220.67578125,15059.298828125,2957.02026367187,,,,,,,,,,,9498.65234375,,,,,,,6206.71533203125,,,7408.4365234375,,,,,,6300.6787109375,,,,,,,5321.4501953125
2,30593.869140625,23290.828125,24472.4375,16645.0625,6953.43798828125,,-6010.666015625,44307.40234375,34937.33984375,22025.271484375,23108.912109375,15092.921875,2937.73315429687,,,,,,,,,,,9476.90625,,,,,,,6168.02880859375,,,7404.8330078125,,,,,,6266.44775390625,,,,,,,5231.70703125
3,30589.666015625,23230.462890625,24399.576171875,16591.177734375,6868.77978515625,,-6020.4912109375,44636.09375,34895.4765625,22202.08203125,23073.77734375,15083.35546875,2902.92065429687,,,,,,,,,,,9512.2822265625,,,,,,,6139.640625,,,7418.46875,,,,,,6265.43994140625,,,,,,,5219.431640625
4,30646.775390625,23185.36328125,24415.091796875,16524.734375,6836.65771484375,,-6018.52197265625,45094.54296875,34784.515625,22353.439453125,22895.228515625,15129.08203125,2954.62866210937,,,,,,,,,,,9514.1787109375,,,,,,,6125.23291015625,,,7448.4560546875,,,,,,6254.546875,,,,,,,5190.59228515625
5,30645.505859375,23158.2578125,24396.740234375,16476.51171875,6819.12646484375,,-6008.8134765625,45552.5703125,34823.24609375,22601.490234375,22900.3515625,15197.9521484375,2971.93212890625,,,,,,,,,,,9499.7265625,,,,,,,6108.9658203125,,,7449.49853515625,,,,,,6267.29345703125,,,,,,,5201.19873046875
6,30743.841796875,23141.908203125,24379.90234375,16441.748046875,6824.7216796875,,-5995.55224609375,45937.09765625,34871.40625,22827.560546875,22853.3046875,15292.09375,2940.54150390625,,,,,,,,,,,9531.287109375,,,,,,,6122.76513671875,,,7469.65087890625,,,,,,6266.482421875,,,,,,,5234.2109375
7,30777.06640625,23152.35546875,24365.625,16469.244140625,6835.3642578125,,-5986.9326171875,46220.19140625,34874.97265625,23063.3984375,22892.697265625,15384.736328125,2997.77905273437,,,,,,,,,,,9621.96484375,,,,,,,6170.52392578125,,,7536.1572265625,,,,,,6280.615234375,,,,,,,5250.0634765625
8,30803.755859375,23155.41015625,24312.931640625,16465.240234375,6829.12255859375,,-5964.2958984375,46600.92578125,34905.92578125,23298.373046875,22832.080078125,15478.9775390625,3009.51147460938,,,,,,,,,,,9650.64453125,,,,,,,6219.0625,,,7543.89892578125,,,,,,6329.4619140625,,,,,,,5287.1591796875
9,30826.560546875,23171.53515625,24365.283203125,16459.8671875,6844.392578125,,-5965.8720703125,46841.3828125,34950.71875,23498.40625,22767.93359375,15563.0712890625,3036.40405273438,,,,,,,,,,,9653.1298828125,,,,,,,6228.142578125,,,7608.07568359375,,,,,,6352.228515625,,,,,,,5299.56396484375
10,30849.861328125,23154.34375,24340.31640625,16475.13671875,6880.4580078125,,-5964.56201171875,47078.7265625,34918.4375,23678.86328125,22777.095703125,15623.6162109375,3042.58911132812,,,,,,,,,,,9748.6025390625,,,,,,,6280.2900390625,,,7641.01171875,,,,,,6380.71728515625,,,,,,,5368.4599609375
11,30870.982421875,23147.67578125,24304.45703125,16473.5703125,6859.2607421875,,-5936.24755859375,47285.9765625,34932.95703125,23859.986328125,22762.47265625,15681.68359375,3088.35522460937,,,,,,,,,,,9796.8447265625,,,,,,,6322.044921875,,,7681.6455078125,,,,,,6384.076171875,,,,,,,5382.1005859375
