A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
11685.7265625,,,,,,,6757.7763671875,,,,,,,,,8396.943359375,,,,,,,15716.8720703125,,,,,,,,,,,,,,,,,9106.49609375,,,,,,,13904.0078125
11813.318359375,,,,,,,6859.0546875,,,,,,,,,8523.0205078125,,,,,,,15695.44140625,,,,,,,,,,,,,,,,,9178.47265625,,,,,,,13973.8349609375
11887.2705078125,,,,,,,6965.46484375,,,,,,,,,8617.7802734375,,,,,,,15653.59375,,,,,,,,,,,,,,,,,9297.6123046875,,,,,,,14043.345703125
11985.96484375,,,,,,,7075.17333984375,,,,,,,,,8652.6123046875,,,,,,,15695.810546875,,,,,,,,,,,,,,,,,9344.13671875,,,,,,,14095.8955078125
12091.1484375,,,,,,,7165.5283203125,,,,,,,,,8748.421875,,,,,,,15684.828125,,,,,,,,,,,,,,,,,9434.25390625,,,,,,,14158.716796875
12149.447265625,,,,,,,7237.99853515625,,,,,,,,,8807.8662109375,,,,,,,15655.31640625,,,,,,,,,,,,,,,,,9516.943359375,,,,,,,14180.4794921875
12226.0751953125,,,,,,,7327.91162109375,,,,,,,,,8854.90625,,,,,,,15720.1201171875,,,,,,,,,,,,,,,,,9559.205078125,,,,,,,14298.3173828125
12321.2255859375,,,,,,,7395.7412109375,,,,,,,,,8901.0244140625,,,,,,,15759.552734375,,,,,,,,,,,,,,,,,9622.046875,,,,,,,14337.4248046875
12372.9169921875,,,,,,,7457.03662109375,,,,,,,,,8961.4599609375,,,,,,,15734.1474609375,,,,,,,,,,,,,,,,,9681.794921875,,,,,,,14413.0537109375
12471.72265625,,,,,,,7540.138671875,,,,,,,,,9015.390625,,,,,,,15788.1962890625,,,,,,,,,,,,,,,,,9764.57421875,,,,,,,14460.1650390625
12512.408203125,,,,,,,7595.84130859375,,,,,,,,,9070.1298828125,,,,,,,15788.6376953125,,,,,,,,,,,,,,,,,9817.71875,,,,,,,14528.083984375
12570.310546875,,,,,,,7665.1884765625,,,,,,,,,9104.861328125,,,,,,,15790.2265625,,,,,,,,,,,,,,,,,9869.826171875,,,,,,,14570.2490234375
12634.982421875,,,,,,,7716.90380859375,,,,,,,,,9174.65625,,,,,,,15824.365234375,,,,,,,,,,,,,,,,,9930.8564453125,,,,,,,14616.3955078125
12686.0068359375,,,,,,,7758.37109375,,,,,,,,,9220.138671875,,,,,,,15853.3603515625,,,,,,,,,,,,,,,,,9996.423828125,,,,,,,14658.6220703125
12725.3671875,,,,,,,7830.34375,,,,,,,,,9281.78125,,,,,,,15845.1376953125,,,,,,,,,,,,,,,,,10011.5849609375,,,,,,,14700.5361328125
12780.7294921875,,,,,,,7867.9111328125,,,,,,,,,9309.322265625,,,,,,,15871.80859375,,,,,,,,,,,,,,,,,10100.240234375,,,,,,,14671.34375
12831.8369140625,,,,,,,7915.62158203125,,,,,,,,,9379.12109375,,,,,,,15861.3984375,,,,,,,,,,,,,,,,,10125.255859375,,,,,,,14745.0966796875
12875.4755859375,,,,,,,7982.34814453125,,,,,,,,,9422.7001953125,,,,,,,15883.728515625,,,,,,,,,,,,,,,,,10207.396484375,,,,,,,14828.6455078125
12924.54296875,,,,,,,8041.9560546875,,,,,,,,,9477.6083984375,,,,,,,15900.677734375,,,,,,,,,,,,,,,,,10231.396484375,,,,,,,14869.12109375
12995.212890625,,,,,,,8077.728515625,,,,,,,,,9524.1943359375,,,,,,,15913.7109375,,,,,,,,,,,,,,,,,10306.349609375,,,,,,,14927.189453125
13031.3369140625,,,,,,,8101.72216796875,,,,,,,,,9557.283203125,,,,,,,15916.798828125,,,,,,,,,,,,,,,,,10338.0556640625,,,,,,,14963.158203125
13079.9267578125,,,,,,,8157.66357421875,,,,,,,,,9590.865234375,,,,,,,15897.2265625,,,,,,,,,,,,,,,,,10400.4267578125,,,,,,,14964.533203125
13120.767578125,,,,,,,8188.8427734375,,,,,,,,,9647.5791015625,,,,,,,15886.71875,,,,,,,,,,,,,,,,,10456.1982421875,,,,,,,14985.6689453125
13192.4033203125,,,,,,,8217.4970703125,,,,,,,,,9690.6103515625,,,,,,,15936.91796875,,,,,,,,,,,,,,,,,10480.734375,,,,,,,15039.712890625
13224.830078125,,,,,,,8293.1484375,,,,,,,,,9743.1357421875,,,,,,,15951.0439453125,,,,,,,,,,,,,,,,,10524.283203125,,,,,,,15062.75390625
13284.89453125,,,,,,,8324.83984375,,,,,,,,,9801.263671875,,,,,,,15968.2578125,,,,,,,,,,,,,,,,,10576.51953125,,,,,,,15081.109375
