"Time ",TRR,TAA,REPORTER,NTB,JOIN,ITC,INPUT,FORK,DTG,CTB,C,BTD,sp13,sp14,sp15,sp16,sp17,sp18,sp19,sp20,sp21,sp22,sp23,sp24,sp25,sp26,sp27,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp35,sp36,sp37,sp38,sp39,sp40,sp41,sp42,sp43,sp44,sp45,sp46,sp47,sp48,sp49,sp50,sp51,sp52,sp53,sp54,sp55,sp56,sp57,sp58,sp59,sp60,sp61,sp62,sp63,sp64,sp65,sp66,sp67,sp68,sp69,sp70,sp71,sp72,sp73,sp74,sp75,sp76,sp77,sp78,sp79
0,50,50,100,50,30,50,10,30,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,47,39,98.8,43,19,48.900000000000006,2,27.7,42,48.8,1.2,41.8,0.09999999999999999,0,0.09999999999999999,0,4.3,0,0,0,0,0,0,7,0,0,0,0,0,0,0.8999999999999999,0,0,0,0,0,0,1.1,0,1.5999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1.2,0,0,0.09999999999999999,0,0,3,0,11,5.1,0,7,0,5.800000000000001,0,1.0999999999999999,0,8,0.8999999999999999,0,0,0,0,2.4,0
200,45.900000000000006,35.9,98.8,40.7,15.9,48.900000000000006,0,27,40,48.50000000000001,1.2,39.599999999999994,0.09999999999999999,0,0.19999999999999998,0,6.2,0,0.30000000000000004,0,0.09999999999999999,0,0,9.299999999999999,0,0,0,0,0,0,0.8,0,0,0,0,0,0,1.3999999999999997,0,2.3000000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0.09999999999999999,0,0,4.1,0,14.100000000000001,5.6000000000000005,0,9.299999999999999,0,8,0,1.0999999999999999,0,10,0.7,0,0,0.30000000000000004,0,2.4,0
300,45.7,32.6,98,40,12.600000000000001,48,0,25.5,40,47.9,2,38.900000000000006,0.8999999999999999,0,0.19999999999999998,0,7.9,0,0.1,0,0.09999999999999999,0,0,10,0,0,0,0,0,0,0.9,0,0,0,0,0,0,2.3000000000000003,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.3,0,17.4,6.4,0,10,0,9.9,0,2,0,10,0,0,0,0.10000000000000002,0,1.2,0
400,43,30.8,97.29999999999998,40,10.799999999999999,47.6,0,25.6,40,47.199999999999996,2.7,38.900000000000006,1.2999999999999998,0,0.1,0,10.4,0,0.4,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1.6,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,7,0,19.2,7.3999999999999995,0,10,0,10.100000000000001,0,2.4,0,10,0,0,0,0.09999999999999999,0,1,0
500,43.8,31.599999999999998,96,40,11.6,46,0,23.400000000000002,40,45.7,4,39,3,0,0.09999999999999999,0,11.9,0,0.3,0,0,0,0,10,0,0,0,0,0,0,0.8999999999999999,0,0,0,0,0,0,2.3000000000000003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6.199999999999999,0,18.4,5.5,0,10,0,9.600000000000001,0,4,0,10,0,0,0,0.3,0,1.4,0
600,45.300000000000004,31.6,94.89999999999999,40,11.6,45.099999999999994,0,21.900000000000002,40,44.9,5.1,39,3.8999999999999995,0,0,0,11.8,0,0.19999999999999998,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,2.9999999999999996,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,4.7,0,18.4,4.499999999999999,0,10,0,9.8,0,4.9,0,10,0,0,0,0,0,1.2,0
700,45.2,31.400000000000002,93.6,40,11.399999999999999,43.8,0,21.099999999999998,40,43.4,6.4,39.2,5.3999999999999995,0,0.09999999999999999,0,12.999999999999998,0,0.39999999999999997,0,0.30000000000000004,0,0,10,0,0,0,0,0,0,0.7,0,0,0,0,0,0,2,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,4.800000000000001,0,18.6,3.4,0,10,0,9.1,0,6.2,0,10,0,0,0,0.19999999999999998,0,1.7,0
800,44.800000000000004,29.3,92.10000000000001,40,9.299999999999999,42.2,0,20.2,40,42.1,7.9,39.2,7,0,0.3,0,14.5,0,0.10000000000000002,0,0.10000000000000002,0,0,10,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1.7999999999999998,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0,5.199999999999999,0,20.7,4.8,0,10,0,8.7,0,7.8,0,10,0,0,0,0,0,2.1,0
900,45.10000000000001,31.199999999999996,91.3,40,11.200000000000001,41.699999999999996,0,19.599999999999998,40,41.199999999999996,8.7,39.5,7.800000000000001,0,0,0,14.8,0,0.5,0,0.09999999999999999,0,0,10,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1.5,0,1.7999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,4.9,0,18.800000000000004,2.2,0,10,0,8.2,0,8.3,0,10,0,0,0,0.09999999999999999,0,2.3000000000000003,0
