"Time ",C
0,0
60,2.1
120,3.4
180,8.099999999999998
240,11.600000000000001
300,14.399999999999999
360,15.700000000000001
420,16.999999999999996
480,17.900000000000006
540,18.900000000000002
600,20.000000000000004
660,20.599999999999998
720,21.2
780,21.5
840,21.6
900,21.700000000000003
960,22
1020,22.2
1080,22.7
1140,22.999999999999996
1200,23.3
1260,23.7
1320,24.099999999999998
1380,24.599999999999998
1440,24.7
1500,25
1560,25.1
1620,25.200000000000003
1680,25.200000000000003
1740,25.4
1800,25.5
1860,25.700000000000003
1920,25.9
1980,26.1
2040,26.2
2100,26.3
2160,26.3
2220,26.3
2280,26.3
2340,26.3
2400,26.3
2460,26.3
2520,26.3
2580,26.3
2640,26.3
2700,26.3
2760,26.3
2820,26.3
2880,26.3
2940,26.3
3000,26.3
3060,26.3
3120,26.3
3180,26.3
3240,26.3
3300,26.3
3360,26.3
3420,26.3
3480,26.3
3540,26.3
3600,26.3
3660,26.3
3720,26.3
3780,26.3
3840,26.3
3900,26.3
3960,26.3
4020,26.400000000000002
4080,26.5
4140,26.6
4200,26.6
4260,26.8
4320,26.9
4380,26.9
4440,26.9
4500,26.9
4560,27
4620,27.099999999999998
4680,27.099999999999998
4740,27.099999999999998
4800,27.099999999999998
4860,27.2
4920,27.2
4980,27.2
5040,27.2
5100,27.2
5160,27.2
5220,27.2
5280,27.2
5340,27.2
5400,27.299999999999997
5460,27.4
5520,27.4
5580,27.4
5640,27.4
5700,27.4
5760,27.4
5820,27.4
5880,27.4
5940,27.4
6000,27.4
6060,27.4
6120,27.4
6180,27.4
6240,27.4
6300,27.4
6360,27.4
6420,27.4
6480,27.4
6540,27.4
6600,27.4
6660,27.4
6720,27.4
6780,27.4
6840,27.4
6900,27.4
6960,27.4
7020,27.4
7080,27.4
7140,27.4
7200,27.4
7260,27.4
7320,27.4
7380,27.4
7440,27.4
7500,27.4
7560,27.4
7620,27.4
7680,27.4
7740,27.4
7800,27.4
7860,27.4
7920,27.4
7980,27.4
8040,27.4
8100,27.4
8160,27.4
8220,27.4
8280,27.4
8340,27.4
8400,27.4
8460,27.4
8520,27.4
8580,27.4
8640,27.4
8700,27.4
8760,27.4
8820,27.4
8880,27.4
8940,27.4
9000,27.4
9060,27.4
9120,27.4
9180,27.4
9240,27.4
9300,27.4
9360,27.4
9420,27.4
9480,27.4
9540,27.4
9600,27.4
9660,27.4
9720,27.4
9780,27.4
9840,27.4
9900,27.4
9960,27.4
10020,27.4
10080,27.4
10140,27.4
10200,27.4
10260,27.4
10320,27.4
10380,27.4
10440,27.4
10500,27.4
10560,27.4
10620,27.4
10680,27.4
10740,27.4
10800,27.4
10860,27.4
10920,27.4
10980,27.4
11040,27.4
11100,27.4
11160,27.4
11220,27.4
11280,27.4
11340,27.4
11400,27.4
11460,27.4
11520,27.4
11580,27.4
11640,27.4
11700,27.4
11760,27.4
11820,27.4
11880,27.4
11940,27.4
12000,27.4
12060,27.4
12120,27.4
12180,27.4
12240,27.4
12300,27.5
12360,27.5
12420,27.5
12480,27.5
12540,27.5
12600,27.5
12660,27.5
12720,27.6
12780,27.6
12840,27.6
12900,27.6
12960,27.6
13020,27.6
13080,27.6
13140,27.6
13200,27.7
13260,27.8
13320,27.9
13380,27.9
13440,27.9
13500,27.9
13560,27.9
13620,27.9
13680,27.9
13740,27.9
13800,27.9
13860,27.9
13920,27.9
13980,28
14040,28
14100,28
14160,28
14220,28
14280,28
14340,28
14400,28
14460,28
14520,28
14580,28
14640,28
14700,28
14760,28
14820,28
14880,28
14940,28
15000,28
15060,28
15120,28
15180,28
15240,28
15300,28
15360,28
15420,28
15480,28
15540,28
15600,28
15660,28
15720,28
15780,28.1
15840,28.2
15900,28.299999999999997
15960,28.299999999999997
16020,28.299999999999997
16080,28.4
16140,28.4
16200,28.4
16260,28.4
16320,28.4
16380,28.4
16440,28.4
16500,28.4
16560,28.5
16620,28.5
16680,28.5
16740,28.5
16800,28.5
16860,28.5
16920,28.5
16980,28.5
17040,28.5
17100,28.5
17160,28.5
17220,28.5
17280,28.5
17340,28.5
17400,28.5
17460,28.5
17520,28.5
17580,28.5
17640,28.5
17700,28.5
17760,28.5
17820,28.5
17880,28.5
17940,28.5
18000,28.5
18060,28.5
18120,28.5
18180,28.5
18240,28.5
18300,28.5
18360,28.5
18420,28.5
18480,28.5
18540,28.5
18600,28.5
18660,28.5
18720,28.5
18780,28.5
18840,28.5
18900,28.5
18960,28.5
19020,28.5
19080,28.5
19140,28.5
19200,28.5
19260,28.5
19320,28.5
19380,28.5
19440,28.5
19500,28.5
19560,28.5
19620,28.5
19680,28.5
19740,28.5
19800,28.5
19860,28.5
19920,28.5
19980,28.5
20040,28.5
20100,28.5
20160,28.5
20220,28.5
20280,28.5
20340,28.5
20400,28.5
20460,28.5
20520,28.5
20580,28.5
20640,28.5
20700,28.5
20760,28.5
20820,28.5
20880,28.5
20940,28.5
21000,28.5
21060,28.5
21120,28.5
21180,28.5
21240,28.5
21300,28.5
21360,28.5
21420,28.5
21480,28.5
21540,28.5
21600,28.5
21660,28.5
21720,28.5
21780,28.5
21840,28.5
21900,28.5
21960,28.5
22020,28.5
22080,28.5
22140,28.5
22200,28.5
22260,28.5
22320,28.5
22380,28.5
22440,28.5
22500,28.5
22560,28.5
22620,28.5
22680,28.5
22740,28.5
22800,28.5
22860,28.5
22920,28.5
22980,28.5
23040,28.5
23100,28.5
23160,28.5
23220,28.5
23280,28.5
23340,28.5
23400,28.5
23460,28.5
23520,28.5
23580,28.5
23640,28.5
23700,28.5
23760,28.5
23820,28.5
23880,28.5
23940,28.5
24000,28.5
24060,28.5
24120,28.5
24180,28.5
24240,28.5
24300,28.5
24360,28.5
24420,28.5
24480,28.5
24540,28.5
24600,28.5
24660,28.5
24720,28.5
24780,28.5
24840,28.5
24900,28.5
24960,28.5
25020,28.5
25080,28.5
25140,28.5
25200,28.5
25260,28.5
25320,28.5
25380,28.5
25440,28.5
25500,28.5
25560,28.5
25620,28.5
25680,28.5
25740,28.5
25800,28.5
25860,28.5
25920,28.5
25980,28.5
26040,28.5
26100,28.5
26160,28.5
26220,28.5
26280,28.5
26340,28.5
26400,28.5
26460,28.5
26520,28.5
26580,28.5
26640,28.5
26700,28.5
26760,28.5
26820,28.5
26880,28.5
26940,28.5
27000,28.5
27060,28.5
27120,28.5
27180,28.5
27240,28.5
27300,28.5
27360,28.6
27420,28.6
27480,28.6
27540,28.6
27600,28.6
27660,28.6
27720,28.6
27780,28.6
27840,28.6
27900,28.6
27960,28.6
28020,28.6
28080,28.6
28140,28.6
28200,28.6
28260,28.6
28320,28.6
28380,28.6
28440,28.6
28500,28.6
28560,28.6
28620,28.6
28680,28.6
28740,28.6
28800,28.6
28860,28.6
28920,28.6
28980,28.6
29040,28.6
29100,28.6
29160,28.6
29220,28.6
29280,28.6
29340,28.6
29400,28.6
29460,28.6
29520,28.700000000000003
29580,28.700000000000003
29640,28.700000000000003
29700,28.700000000000003
29760,28.700000000000003
29820,28.700000000000003
29880,28.700000000000003
29940,28.700000000000003
30000,28.700000000000003
30060,28.700000000000003
30120,28.700000000000003
30180,28.700000000000003
30240,28.700000000000003
30300,28.700000000000003
30360,28.700000000000003
30420,28.700000000000003
30480,28.700000000000003
30540,28.700000000000003
30600,28.700000000000003
30660,28.700000000000003
30720,28.700000000000003
30780,28.700000000000003
30840,28.700000000000003
30900,28.700000000000003
30960,28.700000000000003
31020,28.700000000000003
31080,28.700000000000003
31140,28.700000000000003
31200,28.700000000000003
31260,28.700000000000003
31320,28.700000000000003
31380,28.700000000000003
31440,28.700000000000003
31500,28.700000000000003
31560,28.700000000000003
31620,28.700000000000003
31680,28.700000000000003
31740,28.700000000000003
31800,28.700000000000003
31860,28.700000000000003
31920,28.700000000000003
31980,28.700000000000003
32040,28.700000000000003
32100,28.700000000000003
32160,28.700000000000003
32220,28.700000000000003
32280,28.700000000000003
32340,28.700000000000003
32400,28.700000000000003
32460,28.700000000000003
32520,28.700000000000003
32580,28.700000000000003
32640,28.700000000000003
32700,28.700000000000003
32760,28.700000000000003
32820,28.700000000000003
32880,28.700000000000003
32940,28.700000000000003
33000,28.700000000000003
33060,28.700000000000003
33120,28.700000000000003
33180,28.700000000000003
33240,28.700000000000003
33300,28.700000000000003
33360,28.700000000000003
33420,28.700000000000003
33480,28.700000000000003
33540,28.700000000000003
33600,28.700000000000003
33660,28.700000000000003
33720,28.700000000000003
33780,28.700000000000003
33840,28.700000000000003
33900,28.700000000000003
33960,28.700000000000003
34020,28.700000000000003
34080,28.700000000000003
34140,28.700000000000003
34200,28.700000000000003
34260,28.700000000000003
34320,28.700000000000003
34380,28.700000000000003
34440,28.700000000000003
34500,28.700000000000003
34560,28.700000000000003
34620,28.700000000000003
34680,28.700000000000003
34740,28.700000000000003
34800,28.700000000000003
34860,28.700000000000003
34920,28.700000000000003
34980,28.700000000000003
35040,28.700000000000003
35100,28.700000000000003
35160,28.700000000000003
35220,28.700000000000003
35280,28.700000000000003
35340,28.700000000000003
35400,28.700000000000003
35460,28.700000000000003
35520,28.700000000000003
35580,28.700000000000003
35640,28.700000000000003
35700,28.700000000000003
35760,28.700000000000003
35820,28.700000000000003
35880,28.700000000000003
35940,28.700000000000003
36000,28.700000000000003
36060,28.700000000000003
36120,28.700000000000003
36180,28.700000000000003
36240,28.700000000000003
36300,28.700000000000003
36360,28.700000000000003
36420,28.700000000000003
36480,28.700000000000003
36540,28.700000000000003
36600,28.700000000000003
36660,28.700000000000003
36720,28.700000000000003
36780,28.700000000000003
36840,28.700000000000003
36900,28.700000000000003
36960,28.700000000000003
37020,28.700000000000003
37080,28.700000000000003
37140,28.700000000000003
37200,28.700000000000003
37260,28.700000000000003
37320,28.700000000000003
37380,28.700000000000003
37440,28.700000000000003
37500,28.700000000000003
37560,28.700000000000003
37620,28.700000000000003
37680,28.700000000000003
37740,28.700000000000003
37800,28.700000000000003
37860,28.700000000000003
37920,28.700000000000003
37980,28.700000000000003
38040,28.700000000000003
38100,28.700000000000003
38160,28.700000000000003
38220,28.700000000000003
38280,28.700000000000003
38340,28.700000000000003
38400,28.700000000000003
38460,28.700000000000003
38520,28.700000000000003
38580,28.700000000000003
38640,28.700000000000003
38700,28.700000000000003
38760,28.700000000000003
38820,28.700000000000003
38880,28.700000000000003
38940,28.700000000000003
39000,28.700000000000003
39060,28.700000000000003
39120,28.700000000000003
39180,28.700000000000003
39240,28.700000000000003
39300,28.700000000000003
39360,28.700000000000003
39420,28.700000000000003
39480,28.700000000000003
39540,28.700000000000003
39600,28.700000000000003
39660,28.700000000000003
39720,28.700000000000003
39780,28.700000000000003
39840,28.700000000000003
39900,28.700000000000003
39960,28.700000000000003
40020,28.700000000000003
40080,28.700000000000003
40140,28.700000000000003
40200,28.700000000000003
40260,28.700000000000003
40320,28.700000000000003
40380,28.700000000000003
40440,28.700000000000003
40500,28.700000000000003
40560,28.700000000000003
40620,28.700000000000003
40680,28.700000000000003
40740,28.700000000000003
40800,28.700000000000003
40860,28.700000000000003
40920,28.700000000000003
40980,28.700000000000003
41040,28.700000000000003
41100,28.700000000000003
41160,28.700000000000003
41220,28.700000000000003
41280,28.700000000000003
41340,28.700000000000003
41400,28.700000000000003
41460,28.700000000000003
41520,28.700000000000003
41580,28.700000000000003
41640,28.700000000000003
41700,28.700000000000003
41760,28.700000000000003
41820,28.700000000000003
41880,28.700000000000003
41940,28.700000000000003
42000,28.700000000000003
42060,28.700000000000003
42120,28.700000000000003
42180,28.700000000000003
42240,28.700000000000003
42300,28.700000000000003
42360,28.700000000000003
42420,28.700000000000003
42480,28.700000000000003
42540,28.700000000000003
42600,28.700000000000003
42660,28.700000000000003
42720,28.700000000000003
42780,28.700000000000003
42840,28.700000000000003
42900,28.700000000000003
42960,28.700000000000003
43020,28.700000000000003
43080,28.700000000000003
43140,28.700000000000003
43200,28.700000000000003
43260,28.700000000000003
43320,28.700000000000003
43380,28.700000000000003
43440,28.700000000000003
43500,28.700000000000003
43560,28.700000000000003
43620,28.700000000000003
43680,28.700000000000003
43740,28.700000000000003
43800,28.700000000000003
43860,28.700000000000003
43920,28.700000000000003
43980,28.700000000000003
44040,28.700000000000003
44100,28.700000000000003
44160,28.700000000000003
44220,28.700000000000003
44280,28.700000000000003
44340,28.700000000000003
44400,28.700000000000003
44460,28.700000000000003
44520,28.700000000000003
44580,28.700000000000003
44640,28.700000000000003
44700,28.700000000000003
44760,28.700000000000003
44820,28.700000000000003
44880,28.700000000000003
44940,28.700000000000003
45000,28.700000000000003
45060,28.700000000000003
45120,28.700000000000003
45180,28.700000000000003
45240,28.700000000000003
45300,28.700000000000003
45360,28.700000000000003
45420,28.700000000000003
45480,28.700000000000003
45540,28.700000000000003
45600,28.700000000000003
45660,28.700000000000003
45720,28.700000000000003
45780,28.700000000000003
45840,28.700000000000003
45900,28.700000000000003
45960,28.700000000000003
46020,28.700000000000003
46080,28.700000000000003
46140,28.700000000000003
46200,28.700000000000003
46260,28.700000000000003
46320,28.700000000000003
46380,28.700000000000003
46440,28.700000000000003
46500,28.700000000000003
46560,28.700000000000003
46620,28.700000000000003
46680,28.700000000000003
46740,28.700000000000003
46800,28.700000000000003
46860,28.700000000000003
46920,28.700000000000003
46980,28.700000000000003
47040,28.700000000000003
47100,28.700000000000003
47160,28.700000000000003
47220,28.700000000000003
47280,28.700000000000003
47340,28.700000000000003
47400,28.700000000000003
47460,28.700000000000003
47520,28.8
47580,28.8
47640,28.9
47700,28.9
47760,28.9
47820,28.9
47880,28.9
47940,28.9
48000,28.9
48060,28.9
48120,28.9
48180,28.9
48240,28.9
48300,28.9
48360,28.9
48420,28.9
48480,28.9
48540,28.9
48600,28.9
48660,29.000000000000004
48720,29.1
48780,29.1
48840,29.1
48900,29.1
48960,29.1
49020,29.1
49080,29.1
49140,29.1
49200,29.1
49260,29.1
49320,29.1
49380,29.1
49440,29.1
49500,29.1
49560,29.1
49620,29.1
49680,29.1
49740,29.1
49800,29.1
49860,29.1
49920,29.1
49980,29.1
50040,29.1
50100,29.1
50160,29.1
50220,29.1
50280,29.1
50340,29.1
50400,29.1
50460,29.1
50520,29.1
50580,29.1
50640,29.1
50700,29.1
50760,29.1
50820,29.1
50880,29.1
50940,29.1
51000,29.1
51060,29.1
51120,29.1
51180,29.1
51240,29.1
51300,29.1
51360,29.1
51420,29.1
51480,29.1
51540,29.1
51600,29.1
51660,29.1
51720,29.1
51780,29.1
51840,29.1
51900,29.1
51960,29.1
52020,29.1
52080,29.1
52140,29.1
52200,29.1
52260,29.1
52320,29.1
52380,29.1
52440,29.1
52500,29.1
52560,29.1
52620,29.1
52680,29.1
52740,29.1
52800,29.1
52860,29.1
52920,29.1
52980,29.1
53040,29.1
53100,29.1
53160,29.1
53220,29.1
53280,29.1
53340,29.1
53400,29.1
53460,29.1
53520,29.1
53580,29.1
53640,29.1
53700,29.1
53760,29.1
53820,29.1
53880,29.1
53940,29.1
54000,29.1
54060,29.1
54120,29.1
54180,29.1
54240,29.1
54300,29.1
54360,29.1
54420,29.1
54480,29.1
54540,29.1
54600,29.1
54660,29.1
54720,29.1
54780,29.1
54840,29.1
54900,29.1
54960,29.1
55020,29.1
55080,29.1
55140,29.1
55200,29.1
55260,29.1
55320,29.1
55380,29.1
55440,29.1
55500,29.1
55560,29.1
55620,29.1
55680,29.1
55740,29.1
55800,29.1
55860,29.1
55920,29.1
55980,29.1
56040,29.1
56100,29.1
56160,29.1
56220,29.1
56280,29.1
56340,29.1
56400,29.1
56460,29.1
56520,29.1
56580,29.1
56640,29.1
56700,29.1
56760,29.1
56820,29.1
56880,29.1
56940,29.1
57000,29.1
57060,29.1
57120,29.1
57180,29.1
57240,29.1
57300,29.1
57360,29.1
57420,29.1
57480,29.1
57540,29.1
57600,29.1
57660,29.1
57720,29.1
57780,29.1
57840,29.1
57900,29.1
57960,29.1
58020,29.1
58080,29.1
58140,29.1
58200,29.1
58260,29.1
58320,29.1
58380,29.1
58440,29.1
58500,29.1
58560,29.1
58620,29.1
58680,29.1
58740,29.1
58800,29.1
58860,29.1
58920,29.1
58980,29.1
59040,29.1
59100,29.1
59160,29.1
59220,29.1
59280,29.1
59340,29.1
59400,29.1
59460,29.1
59520,29.1
59580,29.1
59640,29.1
59700,29.1
59760,29.1
59820,29.1
59880,29.1
59940,29.1
60000,29.1
60060,29.1
60120,29.1
60180,29.1
60240,29.1
60300,29.1
60360,29.1
60420,29.1
60480,29.1
60540,29.1
60600,29.1
60660,29.1
60720,29.1
60780,29.1
60840,29.1
60900,29.1
60960,29.1
61020,29.1
61080,29.1
61140,29.1
61200,29.1
61260,29.1
61320,29.1
61380,29.1
61440,29.1
61500,29.1
61560,29.1
61620,29.1
61680,29.1
61740,29.1
61800,29.1
61860,29.1
61920,29.1
61980,29.1
62040,29.1
62100,29.1
62160,29.1
62220,29.1
62280,29.1
62340,29.1
62400,29.1
62460,29.1
62520,29.1
62580,29.1
62640,29.1
62700,29.1
62760,29.1
62820,29.1
62880,29.1
62940,29.1
63000,29.1
63060,29.1
63120,29.1
63180,29.1
63240,29.1
63300,29.1
63360,29.1
63420,29.1
63480,29.1
63540,29.1
63600,29.1
63660,29.1
63720,29.1
63780,29.1
63840,29.1
63900,29.1
63960,29.1
64020,29.1
64080,29.1
64140,29.1
64200,29.1
64260,29.1
64320,29.1
64380,29.1
64440,29.1
64500,29.1
64560,29.1
64620,29.1
64680,29.1
64740,29.1
64800,29.1
64860,29.1
64920,29.1
64980,29.1
65040,29.1
65100,29.1
65160,29.1
65220,29.1
65280,29.1
65340,29.1
65400,29.1
65460,29.1
65520,29.1
65580,29.1
65640,29.1
65700,29.1
65760,29.1
65820,29.1
65880,29.1
65940,29.1
66000,29.1
66060,29.1
66120,29.1
66180,29.1
66240,29.1
