"Time ",C
0,0
60,1.6
120,3.9
180,7.199999999999999
240,10.299999999999999
300,12.2
360,14.7
420,15.599999999999998
480,16.700000000000003
540,17.900000000000002
600,18.1
660,18.9
720,19.6
780,20.1
840,20.699999999999996
900,20.999999999999996
960,20.999999999999996
1020,21.099999999999998
1080,21.5
1140,22.199999999999996
1200,22.199999999999996
1260,22.9
1320,22.9
1380,22.9
1440,23.4
1500,23.4
1560,23.6
1620,23.6
1680,23.700000000000003
1740,23.700000000000003
1800,23.8
1860,23.8
1920,23.8
1980,24.1
2040,24.4
2100,24.6
2160,24.7
2220,24.8
2280,24.8
2340,24.8
2400,24.8
2460,25.000000000000004
2520,25.1
2580,25.1
2640,25.1
2700,25.1
2760,25.1
2820,25.1
2880,25.1
2940,25.2
3000,25.299999999999997
3060,25.6
3120,25.6
3180,25.6
3240,25.6
3300,25.6
3360,25.6
3420,25.6
3480,25.6
3540,25.6
3600,25.6
3660,25.6
3720,25.6
3780,25.6
3840,25.6
3900,25.6
3960,25.6
4020,25.6
4080,25.6
4140,25.6
4200,25.6
4260,25.6
4320,25.6
4380,25.6
4440,25.6
4500,25.6
4560,25.6
4620,25.6
4680,25.700000000000003
4740,25.700000000000003
4800,25.700000000000003
4860,25.8
4920,25.8
4980,25.8
5040,25.8
5100,25.8
5160,25.8
5220,25.8
5280,25.8
5340,25.8
5400,25.8
5460,25.8
5520,25.8
5580,25.8
5640,25.8
5700,25.8
5760,25.8
5820,25.8
5880,25.8
5940,26.000000000000004
6000,26.1
6060,26.1
6120,26.2
6180,26.2
6240,26.2
6300,26.2
6360,26.2
6420,26.2
6480,26.2
6540,26.2
6600,26.2
6660,26.2
6720,26.2
6780,26.2
6840,26.2
6900,26.2
6960,26.2
7020,26.2
7080,26.2
7140,26.2
7200,26.299999999999997
7260,26.299999999999997
7320,26.4
7380,26.4
7440,26.4
7500,26.4
7560,26.4
7620,26.4
7680,26.4
7740,26.4
7800,26.4
7860,26.4
7920,26.4
7980,26.4
8040,26.4
8100,26.4
8160,26.4
8220,26.4
8280,26.6
8340,26.7
8400,26.7
8460,26.8
8520,26.8
8580,26.8
8640,26.8
8700,26.8
8760,26.8
8820,26.8
8880,26.8
8940,26.8
9000,27.1
9060,27.1
9120,27.1
9180,27.1
9240,27.1
9300,27.1
9360,27.1
9420,27.1
9480,27.1
9540,27.1
9600,27.1
9660,27.1
9720,27.1
9780,27.1
9840,27.1
9900,27.1
9960,27.1
10020,27.1
10080,27.1
10140,27.1
10200,27.4
10260,27.4
10320,27.4
10380,27.4
10440,27.4
10500,27.4
10560,27.4
10620,27.4
10680,27.4
10740,27.4
10800,27.4
10860,27.4
10920,27.4
10980,27.4
11040,27.4
11100,27.5
11160,27.5
11220,27.6
11280,27.6
11340,27.6
11400,27.6
11460,27.6
11520,27.6
11580,27.6
11640,27.6
11700,27.6
11760,27.6
11820,27.6
11880,27.6
11940,27.6
12000,27.6
12060,27.6
12120,27.6
12180,27.6
12240,27.6
12300,27.6
12360,27.6
12420,27.6
12480,27.6
12540,27.6
12600,27.6
12660,27.6
12720,27.6
12780,27.6
12840,27.6
12900,27.6
12960,27.6
13020,27.6
13080,27.6
13140,27.6
13200,27.6
13260,27.6
13320,27.6
13380,27.6
13440,27.6
13500,27.6
13560,27.6
13620,27.6
13680,27.6
13740,27.6
13800,27.6
13860,27.6
13920,27.6
13980,27.6
14040,27.6
14100,27.6
14160,27.700000000000003
14220,27.9
14280,28
14340,28.1
14400,28.2
14460,28.2
14520,28.2
14580,28.2
14640,28.2
14700,28.2
14760,28.2
14820,28.2
14880,28.2
14940,28.2
15000,28.2
15060,28.2
15120,28.2
15180,28.2
15240,28.2
15300,28.2
15360,28.2
15420,28.2
15480,28.2
15540,28.2
15600,28.2
15660,28.2
15720,28.2
15780,28.2
15840,28.2
15900,28.2
15960,28.2
16020,28.2
16080,28.2
16140,28.2
16200,28.2
16260,28.2
16320,28.2
16380,28.2
16440,28.2
16500,28.2
16560,28.2
16620,28.2
16680,28.2
16740,28.2
16800,28.2
16860,28.2
16920,28.2
16980,28.2
17040,28.2
17100,28.2
17160,28.2
17220,28.2
17280,28.2
17340,28.2
17400,28.2
17460,28.2
17520,28.2
17580,28.2
17640,28.2
17700,28.2
17760,28.2
17820,28.2
17880,28.2
17940,28.2
18000,28.2
18060,28.2
18120,28.2
18180,28.2
18240,28.2
18300,28.2
18360,28.2
18420,28.2
18480,28.2
18540,28.2
18600,28.2
18660,28.2
18720,28.2
18780,28.2
18840,28.2
18900,28.2
18960,28.4
19020,28.5
19080,28.6
19140,28.6
19200,28.6
19260,28.6
19320,28.6
19380,28.6
19440,28.6
19500,28.6
19560,28.6
19620,28.6
19680,28.6
19740,28.6
19800,28.6
19860,28.6
19920,28.6
19980,28.6
20040,28.6
20100,28.6
20160,28.6
20220,28.6
20280,28.6
20340,28.6
20400,28.6
20460,28.6
20520,28.6
20580,28.6
20640,28.6
20700,28.6
20760,28.6
20820,28.6
20880,28.6
20940,28.6
21000,28.6
21060,28.6
21120,28.6
21180,28.6
21240,28.6
21300,28.6
21360,28.6
21420,28.6
21480,28.6
21540,28.6
21600,28.6
21660,28.6
21720,28.6
21780,28.6
21840,28.6
21900,28.6
21960,28.7
22020,28.7
22080,28.7
22140,28.7
22200,28.7
22260,28.7
22320,28.7
22380,28.7
22440,28.7
22500,28.7
22560,28.7
22620,28.7
22680,28.7
22740,28.7
22800,28.7
22860,28.7
22920,28.7
22980,28.7
23040,28.7
23100,28.7
23160,28.7
23220,28.7
23280,28.7
23340,28.7
23400,28.7
23460,28.7
23520,28.7
23580,28.7
23640,28.7
23700,28.7
23760,28.7
23820,28.7
23880,28.7
23940,28.7
24000,28.7
24060,28.7
24120,29
24180,29
24240,29
24300,29
24360,29
24420,29
24480,29
24540,29
24600,29
24660,29
24720,29
24780,29
24840,29
24900,29
24960,29
25020,29
25080,29
25140,29
25200,29
25260,29
25320,29
25380,29
25440,29
25500,29
25560,29
25620,29
25680,29
25740,29
25800,29
25860,29
25920,29
25980,29
26040,29
26100,29
26160,29
26220,29
26280,29
26340,29
26400,29
26460,29
26520,29
26580,29
26640,29
26700,29
26760,29
26820,29
26880,29
26940,29
27000,29
27060,29
27120,29
27180,29
27240,29
27300,29
27360,29
27420,29
27480,29
27540,29
27600,29
27660,29
27720,29
27780,29
27840,29
27900,29
27960,29
28020,29
28080,29
28140,29
28200,29
28260,29
28320,29
28380,29
28440,29
28500,29
28560,29
28620,29
28680,29
28740,29
28800,29
28860,29
28920,29
28980,29
29040,29
