"Time ",C
0,0
60,1.8
120,3
180,7.3
240,10.3
300,13.1
360,14.5
420,15.4
480,16.8
540,18.2
600,18.9
660,19.4
720,19.8
780,20.1
840,20.5
900,20.700000000000003
960,21.1
1020,21.5
1080,21.7
1140,22.4
1200,22.5
1260,22.5
1320,22.6
1380,22.8
1440,22.8
1500,22.9
1560,23.2
1620,23.299999999999997
1680,23.5
1740,23.7
1800,23.7
1860,23.9
1920,23.9
1980,23.9
2040,23.9
2100,23.9
2160,23.9
2220,24
2280,24
2340,24.2
2400,24.2
2460,24.5
2520,24.5
2580,24.6
2640,24.7
2700,24.7
2760,24.7
2820,24.8
2880,25
2940,25.099999999999998
3000,25.099999999999998
3060,25.299999999999997
3120,25.4
3180,25.700000000000003
3240,25.700000000000003
3300,25.8
3360,25.8
3420,25.8
3480,25.8
3540,25.8
3600,25.900000000000002
3660,25.900000000000002
3720,25.900000000000002
3780,25.900000000000002
3840,25.900000000000002
3900,26
3960,26
4020,26.1
4080,26.2
4140,26.2
4200,26.2
4260,26.2
4320,26.2
4380,26.2
4440,26.2
4500,26.2
4560,26.3
4620,26.3
4680,26.3
4740,26.3
4800,26.3
4860,26.3
4920,26.3
4980,26.3
5040,26.3
5100,26.4
5160,26.4
5220,26.4
5280,26.4
5340,26.4
5400,26.4
5460,26.5
5520,26.6
5580,26.8
5640,26.8
5700,27.2
5760,27.2
5820,27.4
5880,27.5
5940,27.5
6000,27.5
6060,27.5
6120,27.5
6180,27.5
6240,27.5
6300,27.5
6360,27.5
6420,27.5
6480,27.5
6540,27.5
6600,27.5
6660,27.5
6720,27.5
6780,27.6
6840,27.6
6900,27.6
6960,27.6
7020,27.6
7080,27.6
7140,27.6
7200,27.6
7260,27.6
7320,27.6
7380,27.6
7440,27.6
7500,27.6
7560,27.6
7620,27.6
7680,27.6
7740,27.6
7800,27.6
7860,27.6
7920,27.6
7980,27.6
8040,27.6
8100,27.6
8160,27.6
8220,27.6
8280,27.6
8340,27.6
8400,27.6
8460,27.6
8520,27.6
8580,27.6
8640,27.6
8700,27.6
8760,27.6
8820,27.6
8880,27.6
8940,27.6
9000,27.6
9060,27.6
9120,27.6
9180,27.6
9240,27.6
9300,27.6
9360,27.6
9420,27.6
9480,27.6
9540,27.6
9600,27.6
9660,27.6
9720,27.6
9780,27.6
9840,27.700000000000003
9900,27.700000000000003
9960,27.700000000000003
10020,27.700000000000003
10080,27.700000000000003
10140,27.700000000000003
10200,27.700000000000003
10260,27.700000000000003
10320,27.700000000000003
10380,27.700000000000003
10440,27.700000000000003
10500,27.700000000000003
10560,27.700000000000003
10620,27.700000000000003
10680,27.700000000000003
10740,27.700000000000003
10800,27.700000000000003
10860,27.700000000000003
10920,27.700000000000003
10980,27.700000000000003
11040,27.700000000000003
11100,27.700000000000003
11160,27.700000000000003
11220,27.700000000000003
11280,27.700000000000003
11340,27.700000000000003
11400,27.700000000000003
11460,27.700000000000003
11520,27.700000000000003
11580,27.700000000000003
11640,27.700000000000003
11700,27.700000000000003
11760,27.700000000000003
11820,27.700000000000003
11880,27.700000000000003
11940,27.700000000000003
12000,27.700000000000003
12060,27.700000000000003
12120,27.700000000000003
12180,27.700000000000003
12240,27.700000000000003
12300,27.700000000000003
12360,27.700000000000003
12420,27.700000000000003
12480,27.700000000000003
12540,27.700000000000003
12600,27.700000000000003
12660,27.700000000000003
12720,27.700000000000003
12780,27.700000000000003
12840,27.9
12900,27.9
12960,27.9
13020,27.9
13080,27.9
13140,27.9
13200,28
13260,28
13320,28
13380,28
13440,28
13500,28
13560,28
13620,28
13680,28
13740,28
13800,28
13860,28
13920,28
13980,28
14040,28
14100,28
14160,28
14220,28
14280,28
14340,28
14400,28
14460,28
14520,28
14580,28
14640,28
14700,28
14760,28
14820,28
14880,28
14940,28
15000,28
15060,28
15120,28
15180,28
15240,28
15300,28
15360,28
15420,28
15480,28
15540,28
15600,28
15660,28
15720,28
15780,28
15840,28
15900,28
15960,28
16020,28
16080,28
16140,28.1
16200,28.1
16260,28.2
16320,28.299999999999997
16380,28.299999999999997
16440,28.299999999999997
16500,28.299999999999997
16560,28.299999999999997
16620,28.299999999999997
16680,28.299999999999997
16740,28.299999999999997
16800,28.299999999999997
16860,28.299999999999997
16920,28.299999999999997
16980,28.299999999999997
17040,28.299999999999997
17100,28.299999999999997
17160,28.299999999999997
17220,28.299999999999997
17280,28.299999999999997
17340,28.299999999999997
17400,28.299999999999997
17460,28.299999999999997
17520,28.299999999999997
17580,28.299999999999997
17640,28.299999999999997
17700,28.299999999999997
17760,28.299999999999997
17820,28.299999999999997
17880,28.299999999999997
17940,28.299999999999997
18000,28.299999999999997
18060,28.299999999999997
18120,28.299999999999997
18180,28.299999999999997
18240,28.299999999999997
18300,28.299999999999997
18360,28.299999999999997
18420,28.299999999999997
18480,28.299999999999997
18540,28.299999999999997
18600,28.299999999999997
18660,28.299999999999997
18720,28.299999999999997
18780,28.299999999999997
18840,28.299999999999997
18900,28.299999999999997
18960,28.299999999999997
19020,28.299999999999997
19080,28.299999999999997
19140,28.299999999999997
19200,28.299999999999997
19260,28.299999999999997
19320,28.299999999999997
19380,28.299999999999997
19440,28.299999999999997
19500,28.299999999999997
19560,28.299999999999997
19620,28.299999999999997
19680,28.299999999999997
19740,28.299999999999997
19800,28.299999999999997
19860,28.299999999999997
19920,28.299999999999997
19980,28.299999999999997
20040,28.299999999999997
20100,28.299999999999997
20160,28.299999999999997
20220,28.299999999999997
20280,28.299999999999997
20340,28.299999999999997
20400,28.299999999999997
20460,28.299999999999997
20520,28.299999999999997
20580,28.299999999999997
20640,28.299999999999997
20700,28.299999999999997
20760,28.299999999999997
20820,28.299999999999997
20880,28.299999999999997
20940,28.299999999999997
21000,28.299999999999997
21060,28.299999999999997
21120,28.299999999999997
21180,28.299999999999997
21240,28.299999999999997
21300,28.299999999999997
21360,28.299999999999997
21420,28.299999999999997
21480,28.299999999999997
21540,28.299999999999997
21600,28.299999999999997
21660,28.299999999999997
21720,28.299999999999997
21780,28.299999999999997
21840,28.299999999999997
21900,28.299999999999997
21960,28.299999999999997
22020,28.299999999999997
22080,28.299999999999997
22140,28.299999999999997
22200,28.299999999999997
22260,28.299999999999997
22320,28.299999999999997
22380,28.299999999999997
22440,28.299999999999997
22500,28.299999999999997
22560,28.299999999999997
22620,28.299999999999997
22680,28.299999999999997
22740,28.299999999999997
22800,28.299999999999997
22860,28.299999999999997
22920,28.299999999999997
22980,28.299999999999997
23040,28.299999999999997
23100,28.299999999999997
23160,28.299999999999997
23220,28.299999999999997
23280,28.299999999999997
23340,28.299999999999997
23400,28.299999999999997
23460,28.299999999999997
23520,28.299999999999997
23580,28.299999999999997
23640,28.299999999999997
23700,28.299999999999997
23760,28.299999999999997
23820,28.299999999999997
23880,28.299999999999997
23940,28.299999999999997
24000,28.299999999999997
24060,28.299999999999997
24120,28.299999999999997
24180,28.299999999999997
24240,28.299999999999997
24300,28.299999999999997
24360,28.299999999999997
24420,28.299999999999997
24480,28.299999999999997
24540,28.299999999999997
24600,28.299999999999997
24660,28.299999999999997
24720,28.299999999999997
24780,28.299999999999997
24840,28.299999999999997
24900,28.299999999999997
24960,28.299999999999997
25020,28.299999999999997
25080,28.299999999999997
25140,28.299999999999997
25200,28.299999999999997
25260,28.299999999999997
25320,28.299999999999997
25380,28.299999999999997
25440,28.299999999999997
25500,28.299999999999997
25560,28.299999999999997
25620,28.299999999999997
25680,28.299999999999997
25740,28.299999999999997
25800,28.299999999999997
25860,28.299999999999997
25920,28.299999999999997
25980,28.299999999999997
26040,28.299999999999997
26100,28.299999999999997
26160,28.299999999999997
26220,28.299999999999997
26280,28.299999999999997
26340,28.299999999999997
26400,28.299999999999997
26460,28.299999999999997
26520,28.299999999999997
26580,28.299999999999997
26640,28.299999999999997
26700,28.299999999999997
26760,28.299999999999997
26820,28.299999999999997
26880,28.299999999999997
26940,28.299999999999997
27000,28.299999999999997
27060,28.299999999999997
27120,28.299999999999997
