"Time ",C
0,0
60,0.7
120,2.8999999999999995
180,5.4
240,8.200000000000001
300,11.9
360,13.500000000000002
420,16
480,16.8
540,18.5
600,19.8
660,19.8
720,20.1
780,20.700000000000003
840,21.1
900,21.599999999999998
960,21.700000000000003
1020,21.900000000000002
1080,22.1
1140,22.3
1200,22.700000000000003
1260,22.700000000000003
1320,22.9
1380,23.4
1440,24
1500,24.4
1560,24.4
1620,24.4
1680,24.4
1740,24.4
1800,24.4
1860,24.6
1920,24.6
1980,24.6
2040,24.6
2100,24.6
2160,24.6
2220,24.6
2280,24.8
2340,24.8
2400,24.8
2460,24.9
2520,25.000000000000004
2580,25.000000000000004
2640,25.000000000000004
2700,25.299999999999997
2760,25.299999999999997
2820,25.299999999999997
2880,25.299999999999997
2940,25.299999999999997
3000,25.5
3060,25.5
3120,25.5
3180,25.5
3240,25.5
3300,25.5
3360,25.5
3420,25.5
3480,25.5
3540,25.5
3600,25.6
3660,25.6
3720,25.6
3780,25.6
3840,25.6
3900,25.6
3960,25.6
4020,25.6
4080,25.6
4140,25.800000000000004
4200,25.800000000000004
4260,25.800000000000004
4320,25.800000000000004
4380,25.800000000000004
4440,25.800000000000004
4500,25.800000000000004
4560,25.800000000000004
4620,25.800000000000004
4680,25.800000000000004
4740,25.800000000000004
4800,25.800000000000004
4860,26.000000000000004
4920,26.000000000000004
4980,26.2
5040,26.2
5100,26.2
5160,26.2
5220,26.400000000000002
5280,26.7
5340,26.8
5400,27
5460,27.099999999999998
5520,27.099999999999998
5580,27.2
5640,27.2
5700,27.2
5760,27.2
5820,27.2
5880,27.2
5940,27.2
6000,27.2
6060,27.2
6120,27.2
6180,27.2
6240,27.2
6300,27.2
6360,27.2
6420,27.2
6480,27.2
6540,27.2
6600,27.2
6660,27.2
6720,27.2
6780,27.2
6840,27.2
6900,27.2
6960,27.2
7020,27.4
7080,27.4
7140,27.4
7200,27.4
7260,27.4
7320,27.4
7380,27.4
7440,27.4
7500,27.4
7560,27.4
7620,27.4
7680,27.4
7740,27.4
7800,27.4
7860,27.4
7920,27.4
7980,27.4
8040,27.4
8100,27.4
8160,27.4
8220,27.4
8280,27.6
8340,27.6
8400,27.6
8460,27.6
8520,27.6
8580,27.6
8640,27.6
8700,27.6
8760,27.6
8820,27.6
8880,27.8
8940,27.8
9000,27.8
9060,27.8
9120,27.8
9180,27.8
9240,27.8
9300,27.8
9360,27.8
9420,27.8
9480,27.8
9540,27.8
9600,27.8
9660,28
9720,28
9780,28.1
9840,28.1
9900,28.1
9960,28.1
10020,28.1
10080,28.1
10140,28.1
10200,28.1
10260,28.1
10320,28.1
10380,28.1
10440,28.1
10500,28.1
10560,28.1
10620,28.1
10680,28.1
10740,28.1
10800,28.1
10860,28.1
10920,28.1
10980,28.2
11040,28.2
11100,28.2
11160,28.2
11220,28.2
11280,28.2
11340,28.2
11400,28.2
11460,28.2
11520,28.2
11580,28.2
11640,28.2
11700,28.2
11760,28.2
11820,28.2
11880,28.2
11940,28.2
12000,28.2
12060,28.2
12120,28.2
12180,28.2
12240,28.2
12300,28.2
12360,28.2
12420,28.2
12480,28.2
12540,28.2
12600,28.2
12660,28.2
12720,28.2
12780,28.2
12840,28.2
12900,28.2
12960,28.2
13020,28.2
13080,28.2
13140,28.2
13200,28.2
13260,28.2
13320,28.2
13380,28.2
13440,28.2
13500,28.2
13560,28.2
13620,28.2
13680,28.2
13740,28.2
13800,28.2
13860,28.2
13920,28.2
13980,28.2
14040,28.2
14100,28.2
14160,28.2
14220,28.2
14280,28.2
14340,28.2
14400,28.2
14460,28.2
14520,28.2
14580,28.2
14640,28.2
14700,28.2
14760,28.2
14820,28.2
14880,28.2
14940,28.2
15000,28.2
15060,28.2
15120,28.2
15180,28.2
15240,28.2
15300,28.2
15360,28.2
15420,28.2
15480,28.2
15540,28.2
15600,28.2
15660,28.2
15720,28.2
15780,28.2
15840,28.2
15900,28.2
15960,28.2
16020,28.2
16080,28.2
16140,28.2
16200,28.2
16260,28.2
16320,28.2
16380,28.2
16440,28.2
16500,28.2
16560,28.2
16620,28.2
16680,28.2
16740,28.2
16800,28.2
16860,28.2
16920,28.2
16980,28.2
17040,28.2
17100,28.2
17160,28.2
17220,28.2
17280,28.2
17340,28.2
17400,28.2
17460,28.3
17520,28.3
17580,28.3
17640,28.3
17700,28.3
17760,28.3
17820,28.3
17880,28.3
17940,28.3
18000,28.4
18060,28.5
18120,28.5
18180,28.5
18240,28.5
18300,28.5
18360,28.5
18420,28.5
18480,28.5
18540,28.5
18600,28.5
18660,28.5
18720,28.5
18780,28.5
18840,28.5
18900,28.5
18960,28.5
19020,28.5
19080,28.5
19140,28.5
19200,28.5
19260,28.5
19320,28.5
19380,28.5
19440,28.5
19500,28.5
19560,28.5
19620,28.5
19680,28.5
19740,28.5
19800,28.5
19860,28.5
19920,28.5
19980,28.5
20040,28.5
20100,28.5
20160,28.5
20220,28.5
20280,28.5
20340,28.5
20400,28.5
20460,28.5
20520,28.5
20580,28.5
20640,28.5
20700,28.5
20760,28.5
20820,28.5
20880,28.5
20940,28.5
21000,28.5
21060,28.5
21120,28.5
21180,28.5
21240,28.5
21300,28.5
21360,28.5
21420,28.5
21480,28.5
21540,28.5
21600,28.5
21660,28.5
21720,28.5
21780,28.8
21840,28.8
21900,28.8
21960,28.8
22020,28.8
22080,28.8
22140,28.8
22200,28.8
22260,28.8
22320,28.8
22380,28.8
22440,28.8
22500,29.1
22560,29.1
22620,29.1
22680,29.1
22740,29.1
22800,29.1
22860,29.1
22920,29.1
22980,29.1
23040,29.1
23100,29.1
23160,29.1
23220,29.1
23280,29.1
23340,29.1
23400,29.1
23460,29.1
23520,29.1
23580,29.1
23640,29.1
23700,29.1
23760,29.1
23820,29.1
23880,29.1
23940,29.1
24000,29.1
24060,29.1
24120,29.1
24180,29.1
24240,29.1
24300,29.1
24360,29.1
24420,29.1
24480,29.1
24540,29.1
24600,29.1
24660,29.1
24720,29.1
24780,29.1
24840,29.1
24900,29.1
24960,29.1
25020,29.1
25080,29.1
25140,29.1
25200,29.1
25260,29.1
25320,29.1
25380,29.1
25440,29.1
25500,29.1
25560,29.1
25620,29.1
25680,29.1
25740,29.1
25800,29.1
25860,29.1
25920,29.1
25980,29.1
26040,29.1
26100,29.1
26160,29.1
26220,29.1
26280,29.1
26340,29.1
26400,29.1
26460,29.1
26520,29.1
26580,29.1
26640,29.1
26700,29.1
26760,29.1
26820,29.1
26880,29.1
26940,29.1
27000,29.1
27060,29.1
27120,29.1
27180,29.1
27240,29.1
27300,29.1
27360,29.1
27420,29.1
27480,29.1
27540,29.1
27600,29.1
27660,29.1
27720,29.1
27780,29.1
27840,29.1
27900,29.1
27960,29.1
28020,29.1
28080,29.1
28140,29.1
28200,29.1
28260,29.1
28320,29.1
28380,29.1
28440,29.1
28500,29.1
28560,29.1
28620,29.1
28680,29.1
28740,29.1
28800,29.1
28860,29.1
28920,29.1
28980,29.1
29040,29.3
29100,29.3
29160,29.3
29220,29.3
29280,29.3
29340,29.3
29400,29.3
29460,29.3
29520,29.3
29580,29.3
29640,29.3
29700,29.3
29760,29.3
29820,29.3
29880,29.3
29940,29.3
30000,29.3
30060,29.3
30120,29.3
30180,29.3
30240,29.3
30300,29.3
30360,29.3
30420,29.3
30480,29.3
30540,29.3
30600,29.3
30660,29.3
30720,29.3
30780,29.3
30840,29.3
30900,29.3
30960,29.3
31020,29.3
31080,29.3
31140,29.3
31200,29.3
31260,29.3
31320,29.3
31380,29.3
31440,29.3
31500,29.3
31560,29.3
31620,29.3
31680,29.3
31740,29.3
31800,29.3
31860,29.3
31920,29.3
31980,29.3
32040,29.3
32100,29.3
32160,29.3
32220,29.3
32280,29.3
32340,29.3
32400,29.3
32460,29.3
32520,29.3
32580,29.5
32640,29.5
32700,29.5
32760,29.5
32820,29.5
32880,29.5
32940,29.5
33000,29.5
33060,29.5
33120,29.5
33180,29.5
33240,29.5
33300,29.5
33360,29.5
33420,29.5
33480,29.5
33540,29.5
33600,29.5
33660,29.5
33720,29.5
33780,29.5
33840,29.5
33900,29.5
33960,29.5
34020,29.5
34080,29.5
34140,29.5
34200,29.5
34260,29.5
34320,29.5
34380,29.5
34440,29.5
34500,29.5
34560,29.5
34620,29.5
34680,29.5
34740,29.5
34800,29.5
34860,29.5
34920,29.5
34980,29.5
35040,29.5
35100,29.5
35160,29.5
35220,29.5
35280,29.5
