A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
,,,,,,,,14410.7744140625,21305.91015625,,,,,,-7184.01904296875,,,,,,,,,,,,,,,,,12696.72265625,1419.7467041015625,,,,,,,,,,,,,,
,,,,,,,,14629.787109375,21740.390625,,,,,,-6963.5400390625,,,,,,,,,,,,,,,,,12715.017578125,1212.99560546875,,,,,,,,,,,,,,
,,,,,,,,14718.232421875,21864.896484375,,,,,,-6970.64013671875,,,,,,,,,,,,,,,,,12809.4208984375,1120.2391357421875,,,,,,,,,,,,,,
,,,,,,,,14834.1875,22030.8359375,,,,,,-6956.515625,,,,,,,,,,,,,,,,,12894.2255859375,1049.677978515625,,,,,,,,,,,,,,
,,,,,,,,15009.8466796875,22226.31640625,,,,,,-6892.44189453125,,,,,,,,,,,,,,,,,12945.732421875,1015.81396484375,,,,,,,,,,,,,,
,,,,,,,,15135.396484375,22181.529296875,,,,,,-6860.5322265625,,,,,,,,,,,,,,,,,12992.736328125,982.2740478515625,,,,,,,,,,,,,,
,,,,,,,,15131.234375,22266.552734375,,,,,,-6795.1787109375,,,,,,,,,,,,,,,,,13044.025390625,961.990478515625,,,,,,,,,,,,,,
,,,,,,,,15142.361328125,22340.822265625,,,,,,-6751.78125,,,,,,,,,,,,,,,,,13108.041015625,950.4990234375,,,,,,,,,,,,,,
,,,,,,,,15186.98046875,22397.615234375,,,,,,-6720.55322265625,,,,,,,,,,,,,,,,,13144.3447265625,946.5758056640625,,,,,,,,,,,,,,
,,,,,,,,15275.302734375,22542.46484375,,,,,,-6671.892578125,,,,,,,,,,,,,,,,,13232.1533203125,954.0472412109375,,,,,,,,,,,,,,
,,,,,,,,15350.5361328125,22705.19140625,,,,,,-6662.0986328125,,,,,,,,,,,,,,,,,13279.4169921875,980.2610473632812,,,,,,,,,,,,,,
,,,,,,,,15462.3603515625,23049.619140625,,,,,,-6682.458984375,,,,,,,,,,,,,,,,,13361.103515625,976.6071166992188,,,,,,,,,,,,,,
,,,,,,,,15579.076171875,22993.8203125,,,,,,-6762.0673828125,,,,,,,,,,,,,,,,,13456.900390625,987.3182373046875,,,,,,,,,,,,,,
,,,,,,,,15652.80078125,23078.265625,,,,,,-6774.662109375,,,,,,,,,,,,,,,,,13558.09375,963.3837890625,,,,,,,,,,,,,,
,,,,,,,,15723.7080078125,23114.505859375,,,,,,-6739.19140625,,,,,,,,,,,,,,,,,13596.044921875,964.3720703125,,,,,,,,,,,,,,
,,,,,,,,15827.91796875,23251.83984375,,,,,,-6723.4306640625,,,,,,,,,,,,,,,,,13669.587890625,990.0384521484375,,,,,,,,,,,,,,
,,,,,,,,15899.05078125,23236.17578125,,,,,,-6714.3359375,,,,,,,,,,,,,,,,,13712.2431640625,1018.211669921875,,,,,,,,,,,,,,
,,,,,,,,15985.7265625,23362.7265625,,,,,,-6712.236328125,,,,,,,,,,,,,,,,,13833.3974609375,1003.650634765625,,,,,,,,,,,,,,
,,,,,,,,16050.0810546875,23400.08984375,,,,,,-6674.74072265625,,,,,,,,,,,,,,,,,13883.486328125,1019.739501953125,,,,,,,,,,,,,,
,,,,,,,,16176.2080078125,23540.064453125,,,,,,-6670.341796875,,,,,,,,,,,,,,,,,13989.5390625,1034.470947265625,,,,,,,,,,,,,,
,,,,,,,,16220.1259765625,23588.47265625,,,,,,-6638.5703125,,,,,,,,,,,,,,,,,14042.4306640625,1043.133056640625,,,,,,,,,,,,,,
,,,,,,,,16342.0732421875,23699.5078125,,,,,,-6617.4375,,,,,,,,,,,,,,,,,14133.6884765625,1063.838623046875,,,,,,,,,,,,,,
,,,,,,,,16389.494140625,23835.037109375,,,,,,-6613.81640625,,,,,,,,,,,,,,,,,14201.53125,1091.6151123046875,,,,,,,,,,,,,,
,,,,,,,,16501.486328125,23827.703125,,,,,,-6593.9765625,,,,,,,,,,,,,,,,,14259.171875,1071.94091796875,,,,,,,,,,,,,,
,,,,,,,,16533.73828125,23963.28125,,,,,,-6577.46875,,,,,,,,,,,,,,,,,14333.392578125,1095.40234375,,,,,,,,,,,,,,
,,,,,,,,16611.375,24051.83203125,,,,,,-6543.82177734375,,,,,,,,,,,,,,,,,14393.44140625,1115.2652587890625,,,,,,,,,,,,,,
,,,,,,,,16669.1640625,24109.091796875,,,,,,-6559.13623046875,,,,,,,,,,,,,,,,,14462.5224609375,1113.990966796875,,,,,,,,,,,,,,
,,,,,,,,16751.66015625,24228.818359375,,,,,,-6521.9375,,,,,,,,,,,,,,,,,14522.478515625,1138.47705078125,,,,,,,,,,,,,,
,,,,,,,,16813.94140625,24601.27734375,,,,,,-6538.63916015625,,,,,,,,,,,,,,,,,14580.4892578125,1163.6048583984375,,,,,,,,,,,,,,
,,,,,,,,16864.443359375,24377.287109375,,,,,,-6508.53173828125,,,,,,,,,,,,,,,,,14634.28515625,1148.5946044921875,,,,,,,,,,,,,,
,,,,,,,,16955.056640625,24411.111328125,,,,,,-6495.19140625,,,,,,,,,,,,,,,,,14717.630859375,1163.6939697265625,,,,,,,,,,,,,,
,,,,,,,,16994.09765625,24513.12109375,,,,,,-6455.5458984375,,,,,,,,,,,,,,,,,14772.04296875,1201.0887451171875,,,,,,,,,,,,,,
,,,,,,,,17061.671875,24581.96875,,,,,,-6439.6201171875,,,,,,,,,,,,,,,,,14860.2236328125,1196.489990234375,,,,,,,,,,,,,,
,,,,,,,,17135.2890625,24648.140625,,,,,,-6442.06494140625,,,,,,,,,,,,,,,,,14938.2861328125,1206.7564697265625,,,,,,,,,,,,,,
,,,,,,,,17169.388671875,24698.97265625,,,,,,-6421.1533203125,,,,,,,,,,,,,,,,,14980.8544921875,1226.88720703125,,,,,,,,,,,,,,
,,,,,,,,17238.58984375,24734.640625,,,,,,-6397.130859375,,,,,,,,,,,,,,,,,15047.5791015625,1263.89990234375,,,,,,,,,,,,,,
,,,,,,,,17298.599609375,24777.833984375,,,,,,-6385.72216796875,,,,,,,,,,,,,,,,,15131.880859375,1235.9844970703125,,,,,,,,,,,,,,
,,,,,,,,17339.50390625,24883.2265625,,,,,,-6394.7041015625,,,,,,,,,,,,,,,,,15151.8203125,1257.0604248046875,,,,,,,,,,,,,,
,,,,,,,,17384.18359375,24921.326171875,,,,,,-6372.263671875,,,,,,,,,,,,,,,,,15269.7734375,1246.8753662109375,,,,,,,,,,,,,,
,,,,,,,,17429.251953125,25032.4140625,,,,,,-6352.13916015625,,,,,,,,,,,,,,,,,15279.478515625,1297.3953857421875,,,,,,,,,,,,,,
,,,,,,,,17482.89453125,25031.96875,,,,,,-6333.9404296875,,,,,,,,,,,,,,,,,15366.65234375,1286.86376953125,,,,,,,,,,,,,,
,,,,,,,,17510.42578125,25116.83984375,,,,,,-6323.052734375,,,,,,,,,,,,,,,,,15399.23046875,1312.39697265625,,,,,,,,,,,,,,
,,,,,,,,17542.298828125,25146.96484375,,,,,,-6298.94189453125,,,,,,,,,,,,,,,,,15468.4111328125,1306.77392578125,,,,,,,,,,,,,,
,,,,,,,,17626.19921875,25241.861328125,,,,,,-6296.8486328125,,,,,,,,,,,,,,,,,15561.361328125,1327.3134765625,,,,,,,,,,,,,,
