"Time ",C
0,0
60,0.4000000000000001
120,1.2
180,3.6999999999999997
240,5.499999999999999
300,6.5
360,7.6000000000000005
420,8.5
480,10.3
540,10.8
600,11.4
660,12.3
720,12.6
780,13.3
840,14.3
900,14.899999999999999
960,14.899999999999999
1020,15.2
1080,15.2
1140,15.700000000000001
1200,15.8
1260,16.000000000000004
1320,16.000000000000004
1380,16.2
1440,16.4
1500,16.4
1560,16.7
1620,16.7
1680,16.7
1740,16.9
1800,16.9
1860,16.9
1920,16.9
1980,16.9
2040,16.9
2100,16.9
2160,16.9
2220,17
2280,17
2340,17
2400,17
2460,17.1
2520,17.1
2580,17.1
2640,17.1
2700,17.1
2760,17.1
2820,17.1
2880,17.1
2940,17.1
3000,17.1
3060,17.1
3120,17.1
3180,17.1
3240,17.1
3300,17.2
3360,17.2
3420,17.2
3480,17.2
3540,17.299999999999997
3600,17.299999999999997
3660,17.299999999999997
3720,17.299999999999997
3780,17.299999999999997
3840,17.299999999999997
3900,17.299999999999997
3960,17.5
4020,17.5
4080,17.5
4140,17.700000000000003
4200,17.700000000000003
4260,17.700000000000003
4320,18
4380,18
4440,18
4500,18
4560,18
4620,18
4680,18
4740,18
4800,18
4860,18
4920,18
4980,18
5040,18
5100,18.1
5160,18.1
5220,18.1
5280,18.1
5340,18.2
5400,18.2
5460,18.4
5520,18.4
5580,18.4
5640,18.4
5700,18.5
5760,18.5
5820,18.7
5880,18.7
5940,18.7
6000,18.7
6060,18.7
6120,18.7
6180,18.7
6240,18.7
6300,18.7
6360,18.7
6420,18.7
6480,18.7
6540,18.7
6600,18.7
6660,18.7
6720,18.7
6780,18.7
6840,18.7
6900,18.7
6960,18.7
7020,18.7
7080,18.7
7140,18.7
7200,18.7
7260,18.7
7320,18.7
7380,18.7
7440,18.7
7500,18.7
7560,18.7
7620,18.7
7680,18.7
7740,18.7
7800,18.7
7860,18.7
7920,18.7
7980,18.7
8040,18.7
8100,18.7
8160,18.7
8220,18.7
8280,18.7
8340,18.7
8400,18.7
8460,18.7
8520,18.7
8580,18.7
8640,18.7
8700,18.7
8760,18.7
8820,18.7
8880,18.7
8940,18.7
9000,18.7
9060,18.7
9120,18.7
9180,18.7
9240,18.7
9300,18.7
9360,18.7
9420,18.7
9480,18.7
9540,18.7
9600,18.7
9660,18.7
9720,18.7
9780,18.7
9840,18.7
9900,18.7
9960,18.9
10020,18.9
10080,18.9
10140,18.9
10200,18.9
10260,18.9
10320,18.9
10380,18.9
10440,18.9
10500,18.9
10560,18.9
10620,18.9
10680,18.9
10740,18.9
10800,18.9
10860,18.9
10920,18.9
10980,18.9
11040,18.9
11100,18.9
11160,18.9
11220,18.9
11280,18.9
11340,18.9
11400,18.9
11460,18.9
11520,18.9
11580,18.9
11640,18.9
11700,18.9
11760,18.9
11820,18.9
11880,18.9
11940,18.9
12000,18.9
12060,18.9
12120,18.9
12180,18.9
12240,18.9
12300,18.9
12360,18.9
12420,18.9
12480,18.9
12540,18.9
12600,18.9
12660,18.9
12720,18.9
12780,18.9
12840,18.9
12900,18.9
12960,18.9
13020,18.9
13080,18.9
13140,18.9
13200,18.9
13260,19
13320,19
13380,19
13440,19
13500,19
13560,19
13620,19
13680,19
13740,19
13800,19
13860,19
13920,19
13980,19
14040,19
14100,19
14160,19
14220,19
14280,19
14340,19
14400,19
14460,19
14520,19
14580,19
14640,19
14700,19
14760,19.2
14820,19.2
14880,19.2
14940,19.2
15000,19.299999999999997
15060,19.299999999999997
15120,19.299999999999997
15180,19.299999999999997
15240,19.299999999999997
15300,19.299999999999997
15360,19.299999999999997
15420,19.299999999999997
15480,19.299999999999997
15540,19.299999999999997
15600,19.299999999999997
15660,19.299999999999997
15720,19.299999999999997
15780,19.299999999999997
15840,19.299999999999997
15900,19.299999999999997
15960,19.299999999999997
16020,19.299999999999997
16080,19.299999999999997
16140,19.299999999999997
16200,19.299999999999997
16260,19.299999999999997
16320,19.299999999999997
16380,19.299999999999997
16440,19.299999999999997
16500,19.299999999999997
16560,19.299999999999997
16620,19.299999999999997
16680,19.299999999999997
16740,19.299999999999997
16800,19.299999999999997
16860,19.299999999999997
16920,19.299999999999997
