"Time ",TRR,TAA,REPORTER,NTB,JOIN,ITC,INPUT,FORK,DTG,CTB,C,BTD,sp13,sp14,sp15,sp16,sp17,sp18,sp19,sp20,sp21,sp22,sp23,sp24,sp25,sp26,sp27,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp35,sp36,sp37,sp38,sp39,sp40,sp41,sp42,sp43,sp44,sp45,sp46,sp47,sp48,sp49,sp50,sp51,sp52,sp53,sp54,sp55,sp56,sp57,sp58,sp59,sp60,sp61,sp62,sp63,sp64,sp65,sp66,sp67,sp68,sp69,sp70,sp71,sp72,sp73,sp74,sp75,sp76,sp77,sp78,sp79
0,50,50,100,50,30,50,25,30,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,45.1,35.2,97.89999999999999,35.7,15.2,47.6,1.9,26.900000000000002,26.9,47.6,2.1000000000000005,32.5,0,0,0,0,5.6000000000000005,0,0,0,0,0,0,14.299999999999999,0,0,0,0,0,0,2.4000000000000004,0,0,0,0,0,0,0.7,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0.7999999999999999,0,2.1000000000000005,0,0,0,0,0,4.9,0,14.8,4.7,0,14.299999999999999,0,10.1,0,2.4000000000000004,0,23.1,8,0,0,0.3,0,7.4,0
120,43,31.799999999999997,96.80000000000001,31.5,11.8,47.3,2.2,24.799999999999997,27.2,46.7,3.2,28.8,0.30000000000000004,0,0.20000000000000004,0,10,0,0.6,0,0.09999999999999999,0,0,18.5,0,0,0,0,0,0,2.2000000000000006,0,0,0,0,0,0,1.7999999999999998,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,3.2,0,0,0,0,0,7,0,18.200000000000003,3.6999999999999997,0,18.5,0,13.5,0,2.6999999999999997,0,22.8,4,0,0,0.10000000000000002,0,7.7,0
180,42.1,29.4,95.7,28.5,9.4,46.300000000000004,1.7,22.4,26.7,45.3,4.3,25.8,1.3,0,0.5,0,13.6,0,1,0,0.09999999999999999,0,0,21.5,0,0,0,0,0,0,1.9,0,0,0,0,0,0,2.8,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,4.3,0,0,0,0,0,7.9,0,20.6,3.2,0,21.5,0,15,0,3.7,0,23.3,1.5,0,0,0.39999999999999997,0,9.2,0
240,40.9,28,94.39999999999999,27.099999999999998,8,44.699999999999996,0.5000000000000001,21.1,25.5,43.9,5.6000000000000005,24.8,3.2,0,0.39999999999999997,0,16.3,0,0.7999999999999999,0,0.39999999999999997,0,0,22.900000000000002,0,0,0,0,0,0,1.7000000000000002,0,0,0,0,0,0,2.3999999999999995,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0.19999999999999998,0,5.6000000000000005,0,0,0,0,0,9.100000000000001,0,22,2.4000000000000004,0,22.900000000000002,0,15.2,0,5.3,0,24.5,1.4,0,0,0.5,0,10,0
300,42,26.900000000000002,92.6,26.1,6.900000000000001,42.79999999999999,0.39999999999999997,18.799999999999997,25.4,42.2,7.4,24.400000000000002,5.6000000000000005,0,0.10000000000000002,0,17.699999999999996,0,0.6,0,0.19999999999999998,0,0,23.9,0,0,0,0,0,0,1.5,0,0,0,0,0,0,3.2,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0.09999999999999999,0,7.4,0,0,0,0,0,8,0,23.099999999999998,1.6000000000000003,0,23.9,0,15.1,0,7.199999999999999,0,24.6,0.6,0,0,0.4,0,10.5,0
360,42.4,26.3,91.5,25.9,6.3,41.50000000000001,0.4,18.4,25.4,41.099999999999994,8.5,24.400000000000002,7,0,0.20000000000000004,0,17.9,0,0.4,0,0.19999999999999998,0,0,24.1,0,0,0,0,0,0,1.2999999999999998,0,0,0,0,0,0,2.5,0,4.6000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,7.6,0,23.7,1.1999999999999997,0,24.1,0,14.900000000000002,0,8.5,0,24.6,0.5,0,0,0.39999999999999997,0,10.700000000000001,0
420,41.7,25,90.3,25.299999999999997,5,40.199999999999996,0.10000000000000002,17.3,25.1,39.49999999999999,9.7,23.8,8.399999999999999,0,0.3,0,19.9,0,0.7,0,0.09999999999999999,0,0,24.700000000000003,0,0,0,0,0,0,1.1,0,0,0,0,0,0,2.1,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0.09999999999999999,0,9.7,0,0,0,0,0,8.299999999999999,0,25,0.8999999999999999,0,24.700000000000003,0,14.899999999999999,0,9.799999999999999,0,24.9,0.09999999999999999,0,0,0.8,0,11.299999999999999,0
480,41.599999999999994,24.4,88.6,25.1,4.3999999999999995,38.9,0,15.699999999999998,25,38.199999999999996,11.399999999999999,23.9,9.9,0,0.10000000000000002,0,21.6,0,0.7,0,0.2,0,0,24.9,0,0,0,0,0,0,1.1,0,0,0,0,0,0,2.3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.399999999999999,0,0,0,0,0,8.4,0,25.6,1,0,24.9,0,13.8,0,11.100000000000001,0,25,0.09999999999999999,0,0,0.39999999999999997,0,12.3,0
540,41.39999999999999,24.2,87.70000000000002,25.1,4.2,38,0,16.2,25,37.6,12.3,23.9,10.8,0,0.19999999999999998,0,21.400000000000002,0,0.39999999999999997,0,0.10000000000000002,0,0,24.9,0,0,0,0,0,0,1,0,0,0,0,0,0,1.3,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,0,0,0,0,8.600000000000001,0,25.8,0.9,0,24.9,0,13.599999999999998,0,12,0,25,0.09999999999999999,0,0,0.10000000000000002,0,12.500000000000002,0
