"Time ",TRR,TAA,REPORTER,NTB,JOIN,ITC,INPUT,FORK,DTG,CTB,C,BTD,sp13,sp14,sp15,sp16,sp17,sp18,sp19,sp20,sp21,sp22,sp23,sp24,sp25,sp26,sp27,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp35,sp36,sp37,sp38,sp39,sp40,sp41,sp42,sp43,sp44,sp45,sp46,sp47,sp48,sp49,sp50,sp51,sp52,sp53,sp54,sp55,sp56,sp57,sp58,sp59,sp60,sp61,sp62,sp63,sp64,sp65,sp66,sp67,sp68,sp69,sp70,sp71,sp72,sp73,sp74,sp75,sp76,sp77,sp78,sp79
0,50,50,100,50,30,50,5,30,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,48.3,39.1,99.39999999999999,46,19.099999999999998,49.400000000000006,1,28.8,46,49.400000000000006,0.6,45.4,0,0,0.10000000000000002,0,2.4,0,0,0,0.10000000000000002,0,0,4,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5000000000000001,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,1.7,0,10.9,6.7,0,4,0,4.1,0,0.6,0,4,0,0,0,0,0,0.5,0
200,47.7,36.900000000000006,99.1,45.1,16.900000000000002,49.2,0,28.700000000000003,45,49.1,0.9,44.5,0.20000000000000004,0,0.10000000000000002,0,3.1,0,0.10000000000000002,0,0,0,0,4.9,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.39999999999999997,0,1.8000000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,2.3000000000000003,0,13.100000000000001,8.200000000000001,0,4.9,0,4.6000000000000005,0,0.7999999999999999,0,5,0.09999999999999999,0,0,0,0,0.8999999999999999,0
300,46.8,36.1,98.7,45,16.1,49,0,27,45,48.6,1.3,44.400000000000006,0.39999999999999997,0,0,0,5.6000000000000005,0,0.39999999999999997,0,0,0,0,5,0,0,0,0,0,0,0.6,0,0,0,0,0,0,1.6,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,3.2000000000000006,0,13.9,8,0,5,0,5.1,0,1,0,5,0,0,0,0.10000000000000002,0,0.5,0
400,46,34.199999999999996,97.5,45,14.2,47.5,0,26.299999999999997,45,47.4,2.5,44.400000000000006,1.9,0,0.10000000000000002,0,7.199999999999999,0,0.10000000000000002,0,0,0,0,5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1.1,0,0.19999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,3.9999999999999996,0,15.8,8.399999999999999,0,5,0,5.4,0,2.5,0,5,0,0,0,0.10000000000000002,0,0.20000000000000004,0
500,47.1,34.6,97.10000000000001,45,14.6,47.1,0,25.299999999999997,45,47.1,2.9,44.5,2.4000000000000004,0,0,0,7.1,0,0,0,0,0,0,5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1.7999999999999998,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,2.9,0,15.4,7.5,0,5,0,5.5,0,2.9,0,5,0,0,0,0,0,0,0
600,46.29999999999999,34.1,96.6,45,14.100000000000001,46.6,0,25.700000000000003,45,46.6,3.4000000000000004,44.5,2.9,0,0,0,7.500000000000002,0,0,0,0,0,0,5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.8999999999999999,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4000000000000004,0,0,0,0,0,3.6999999999999997,0,15.899999999999999,7.7,0,5,0,5.299999999999999,0,3.4000000000000004,0,5,0,0,0,0,0,0.19999999999999998,0
700,46.50000000000001,34.1,96.39999999999999,45,14.1,46.400000000000006,0,24.4,45,46,3.5999999999999996,44.5,3.1,0,0,0,8.6,0,0.39999999999999997,0,0,0,0,5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1.5999999999999999,0,0.10000000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5999999999999996,0,0,0,0,0,3.5,0,15.9,7.199999999999999,0,5,0,5.2,0,3.5999999999999996,0,5,0,0,0,0.39999999999999997,0,0.3,0
800,46.300000000000004,34.8,95.5,45,14.799999999999999,45.6,0,24.1,45,45.5,4.5,44.5,3.9,0,0,0,9.100000000000001,0,0.09999999999999999,0,0,0,0,5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1.4,0,0.4000000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,3.6999999999999997,0,15.200000000000001,5.7,0,5,0,5.5,0,4.4,0,5,0,0,0,0,0,0,0
900,47.2,33.5,94.6,45,13.5,44.9,0,23.099999999999998,45,44.6,5.4,44.5,4.6000000000000005,0,0,0,9.2,0,0.3,0,0.19999999999999998,0,0,5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1.3,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,2.8,0,16.5,6.5,0,5,0,4.9,0,5.1,0,5,0,0,0,0,0,0.6,0
1000,46.800000000000004,32.400000000000006,94,45,12.4,44,0,22.9,45,44,6,44.5,5.5,0,0.10000000000000002,0,9.9,0,0,0,0.19999999999999998,0,0,5,0,0,0,0,0,0,0.4000000000000001,0,0,0,0,0,0,0.8999999999999999,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3.2,0,17.599999999999998,6.9,0,5,0,5,0,6,0,5,0,0,0,0,0,0.5,0
1100,46.30000000000001,33.5,93.2,45,13.5,43.6,0,22.3,45,43.2,6.800000000000001,44.5,5.9,0,0,0,10.9,0,0.39999999999999997,0,0,0,0,5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.9,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.800000000000001,0,0,0,0,0,3.6999999999999993,0,16.5,5.1,0,5,0,5.1,0,6.4,0,5,0,0,0,0,0,0.4,0
